Fecha,Tipo de Emisión,Nivel de Emisión (ppm),Fuente de Emisión,Consumo de Electricidad (kWh),Consumo de Gas Natural (m³),Volumen de Agua (m³),Tipo de Residuo,Cantidad de Residuo (kg),Método de Disposición,Concentración de Contaminante (ppm),Localización de Medición,Cumplimiento Normativo,Contador de Registros
2015-02-03,HAP,50,Maquinaria de Ensamble,257,59,44,No peligroso,3,Reciclaje,0.00161210391419672,En los alrededores,Sí,34
2015-02-04,CO2,37,Maquinaria de Ensamble,416,46,38,No peligroso,3,Vertedero,0.0074435217777231374,En los alrededores,Sí,35
2015-02-05,CO2,5,Hornos de Secado,257,23,31,Peligroso,3,Reciclaje,0.0022691813218854596,En los alrededores,Sí,36
2015-02-06,CO2,65,Procesos de Pintura,120,18,21,Reciclable,6,Reciclaje,0.0015572222878471181,Dentro de la planta,Sí,37
2015-02-07,CO2,74,Hornos de Secado,460,18,37,Reciclable,1,Incineración,0.006582916170099689,Dentro de la planta,Sí,38
2015-02-08,CO2,50,Maquinaria de Ensamble,173,84,16,Peligroso,9,Incineración,0.006206102780320543,Dentro de la planta,Sí,39
2015-02-09,NOx,7,Maquinaria de Ensamble,337,84,14,Reciclable,7,Vertedero,0.006579140341735974,En los alrededores,Sí,40
2015-02-10,VOC,67,Procesos de Pintura,484,18,12,No peligroso,6,Incineración,0.009633978034356491,En los alrededores,Sí,41
2015-02-11,VOC,19,Procesos de Pintura,167,52,30,Peligroso,9,Incineración,0.00821846975791039,En los alrededores,Sí,42
2015-02-12,NOx,83,Procesos de Pintura,498,76,38,Peligroso,1,Incineración,0.008292199408444575,En los alrededores,Sí,43
2015-02-13,VOC,87,Hornos de Secado,238,12,14,Peligroso,1,Reciclaje,0.009191131200553367,Dentro de la planta,Sí,44
2015-02-14,VOC,91,Hornos de Secado,448,74,49,Peligroso,10,Reciclaje,0.0039052737579073227,Dentro de la planta,Sí,45
2015-02-15,HAP,67,Procesos de Pintura,324,38,26,Reciclable,6,Vertedero,0.00992342914528745,Dentro de la planta,Sí,46
2015-02-16,VOC,20,Procesos de Pintura,347,55,13,Reciclable,3,Vertedero,0.005742470804353582,En los alrededores,Sí,47
2015-02-17,CO2,63,Maquinaria de Ensamble,161,69,27,Reciclable,8,Incineración,0.005542515534881088,En los alrededores,Sí,48
2015-02-18,VOC,40,Procesos de Pintura,134,29,35,No peligroso,6,Vertedero,0.008179126888215961,Dentro de la planta,Sí,49
2015-02-19,CO2,52,Procesos de Pintura,129,34,27,Reciclable,6,Reciclaje,0.004084136637322457,En los alrededores,Sí,50
2015-02-20,VOC,99,Procesos de Pintura,316,65,13,Reciclable,9,Vertedero,0.005076217171218174,En los alrededores,Sí,51
2015-02-21,VOC,10,Hornos de Secado,283,45,42,No peligroso,4,Reciclaje,0.0040924915619103466,Dentro de la planta,Sí,52
2015-02-22,HAP,66,Procesos de Pintura,103,31,25,Peligroso,9,Vertedero,0.0045707572254506225,En los alrededores,Sí,53
2015-02-23,NOx,90,Maquinaria de Ensamble,262,76,20,Peligroso,6,Vertedero,0.002101656510435372,En los alrededores,Sí,54
2015-02-24,NOx,23,Maquinaria de Ensamble,146,50,40,No peligroso,1,Vertedero,0.004106442923179108,En los alrededores,Sí,55
2015-02-25,HAP,93,Maquinaria de Ensamble,133,10,43,Peligroso,9,Incineración,0.004271327548028,En los alrededores,Sí,56
2015-02-26,VOC,10,Hornos de Secado,350,60,30,No peligroso,1,Vertedero,0.0040951042219880655,En los alrededores,Sí,57
2015-02-27,NOx,16,Hornos de Secado,276,99,19,No peligroso,6,Vertedero,0.005219792640758255,Dentro de la planta,Sí,58
2015-02-28,CO2,38,Maquinaria de Ensamble,128,99,29,No peligroso,1,Incineración,0.008070569252471103,Dentro de la planta,Sí,59
2015-03-01,CO2,6,Maquinaria de Ensamble,213,91,40,Peligroso,4,Vertedero,0.0017989791795126266,En los alrededores,Sí,60
2015-03-02,NOx,73,Maquinaria de Ensamble,339,33,14,Reciclable,9,Vertedero,0.00424472820491001,En los alrededores,Sí,61
2015-03-03,CO2,1,Maquinaria de Ensamble,244,48,19,Peligroso,1,Reciclaje,0.007319640753164921,En los alrededores,Sí,62
2015-03-04,CO2,98,Procesos de Pintura,234,94,13,No peligroso,7,Incineración,0.003267218377650976,Dentro de la planta,Sí,63
2015-03-05,NOx,80,Procesos de Pintura,167,41,48,Reciclable,1,Reciclaje,0.005912166093725094,Dentro de la planta,Sí,64
2015-03-06,HAP,95,Maquinaria de Ensamble,429,53,25,Peligroso,6,Incineración,0.009021133402912565,Dentro de la planta,Sí,65
2015-03-07,NOx,34,Hornos de Secado,113,82,11,Peligroso,2,Vertedero,0.0067113820692007034,Dentro de la planta,Sí,66
2015-03-08,CO2,96,Procesos de Pintura,371,56,35,Peligroso,3,Vertedero,0.00159036632883968,En los alrededores,Sí,67
2015-03-09,CO2,21,Maquinaria de Ensamble,239,96,15,Peligroso,9,Vertedero,0.00493901464612183,Dentro de la planta,Sí,68
2015-03-10,NOx,84,Maquinaria de Ensamble,441,78,16,Reciclable,5,Vertedero,0.005847208192531116,En los alrededores,Sí,69
2015-03-11,VOC,6,Procesos de Pintura,190,30,43,No peligroso,8,Reciclaje,0.0012443707616020478,Dentro de la planta,Sí,70
2015-03-12,CO2,27,Hornos de Secado,258,47,50,Reciclable,5,Incineración,0.009456500196106443,Dentro de la planta,Sí,71
2015-03-13,HAP,66,Procesos de Pintura,170,100,30,Peligroso,4,Vertedero,0.00660552084012246,En los alrededores,Sí,72
2015-03-14,NOx,18,Hornos de Secado,373,25,23,Peligroso,1,Reciclaje,0.00933720200376189,En los alrededores,Sí,73
2015-03-15,VOC,69,Hornos de Secado,472,86,46,Peligroso,6,Vertedero,0.0015413921300940097,En los alrededores,Sí,74
2015-03-16,HAP,54,Procesos de Pintura,366,90,49,Reciclable,3,Incineración,0.002031449683670885,En los alrededores,Sí,75
2015-03-17,VOC,88,Procesos de Pintura,420,19,29,Peligroso,3,Vertedero,0.0034417450809272215,En los alrededores,Sí,76
2015-03-18,HAP,8,Maquinaria de Ensamble,461,61,46,No peligroso,10,Reciclaje,0.007648487755270265,Dentro de la planta,Sí,77
2015-03-19,HAP,28,Maquinaria de Ensamble,100,77,46,No peligroso,8,Vertedero,0.0018381025412548815,Dentro de la planta,Sí,78
2015-03-20,HAP,41,Maquinaria de Ensamble,371,83,29,No peligroso,2,Incineración,0.0075192826831910935,En los alrededores,Sí,79
2015-03-21,VOC,18,Procesos de Pintura,426,16,19,Reciclable,5,Incineración,0.0022535213661915117,En los alrededores,Sí,80
2015-03-22,CO2,28,Hornos de Secado,212,42,24,Peligroso,3,Vertedero,0.005920027691184849,En los alrededores,Sí,81
2015-03-23,VOC,37,Procesos de Pintura,334,31,49,Peligroso,5,Incineración,0.00994210496950974,En los alrededores,Sí,82
2015-03-24,NOx,100,Procesos de Pintura,358,95,46,No peligroso,6,Reciclaje,0.007802355007143097,En los alrededores,Sí,83
2015-03-25,HAP,51,Procesos de Pintura,299,37,34,No peligroso,6,Vertedero,0.0033148728274877753,Dentro de la planta,Sí,84
2015-03-26,CO2,71,Procesos de Pintura,482,46,35,Reciclable,6,Incineración,0.009708093527115831,En los alrededores,Sí,85
2015-03-27,HAP,64,Procesos de Pintura,201,82,39,No peligroso,2,Reciclaje,0.009017930783665373,En los alrededores,Sí,86
2015-03-28,CO2,81,Hornos de Secado,471,37,49,Reciclable,7,Reciclaje,0.008314055893931532,Dentro de la planta,Sí,87
2015-03-29,HAP,41,Procesos de Pintura,360,19,48,Reciclable,7,Reciclaje,0.007604814469370034,En los alrededores,Sí,88
2015-03-30,CO2,79,Maquinaria de Ensamble,199,34,35,Reciclable,7,Reciclaje,0.004186412696753612,Dentro de la planta,Sí,89
2015-03-31,VOC,32,Hornos de Secado,380,61,44,No peligroso,10,Vertedero,0.0037230726135720777,Dentro de la planta,Sí,90
2015-04-01,CO2,29,Hornos de Secado,142,16,44,No peligroso,2,Vertedero,0.004008771895124092,En los alrededores,Sí,91
2015-04-02,HAP,51,Procesos de Pintura,282,40,31,Reciclable,7,Incineración,0.006704684942340099,Dentro de la planta,Sí,92
2015-04-03,VOC,92,Maquinaria de Ensamble,177,40,30,Reciclable,5,Reciclaje,0.007011201136152549,En los alrededores,Sí,93
2015-04-04,VOC,78,Hornos de Secado,244,40,21,No peligroso,8,Incineración,0.004803168094289747,Dentro de la planta,Sí,94
2015-04-05,HAP,31,Procesos de Pintura,310,81,49,Reciclable,4,Reciclaje,0.004403400575300531,Dentro de la planta,Sí,95
2015-04-06,VOC,20,Hornos de Secado,384,89,32,Reciclable,3,Reciclaje,0.0063151376311483595,Dentro de la planta,Sí,96
2015-04-07,VOC,15,Maquinaria de Ensamble,113,18,10,No peligroso,5,Reciclaje,0.0033556860571076065,En los alrededores,Sí,97
2015-04-08,NOx,59,Maquinaria de Ensamble,388,100,28,Reciclable,6,Vertedero,0.006574373648296325,En los alrededores,Sí,98
2015-04-09,CO2,27,Procesos de Pintura,376,16,34,No peligroso,6,Reciclaje,0.001523038870347265,Dentro de la planta,Sí,99
2015-04-10,HAP,3,Hornos de Secado,352,57,22,Reciclable,8,Vertedero,0.004342875618451784,En los alrededores,Sí,100
2015-04-11,HAP,93,Maquinaria de Ensamble,203,31,29,No peligroso,5,Reciclaje,0.00839097107652409,En los alrededores,Sí,101
2015-04-12,NOx,37,Procesos de Pintura,279,47,43,Reciclable,1,Incineración,0.00983414761535083,Dentro de la planta,Sí,102
2015-04-13,HAP,78,Procesos de Pintura,356,15,12,Reciclable,6,Incineración,0.005699156294375964,Dentro de la planta,Sí,103
2015-04-14,CO2,19,Maquinaria de Ensamble,210,84,44,Peligroso,3,Incineración,0.0024783201258238583,Dentro de la planta,Sí,104
2015-04-15,CO2,69,Procesos de Pintura,495,100,37,Peligroso,10,Incineración,0.006297447331094216,En los alrededores,Sí,105
2015-04-16,NOx,7,Hornos de Secado,500,60,36,Reciclable,4,Incineración,0.004781268167287146,En los alrededores,Sí,106
2015-04-17,CO2,43,Procesos de Pintura,303,91,29,Reciclable,2,Reciclaje,0.009178197737393118,Dentro de la planta,Sí,107
2015-04-18,VOC,76,Maquinaria de Ensamble,434,50,39,Reciclable,7,Incineración,0.0025997826488472044,Dentro de la planta,Sí,108
2015-04-19,HAP,92,Maquinaria de Ensamble,191,56,47,No peligroso,9,Vertedero,0.0015678970187053614,Dentro de la planta,Sí,109
2015-04-20,VOC,18,Hornos de Secado,276,52,38,Reciclable,7,Incineración,0.002791521122643868,Dentro de la planta,Sí,110
2015-04-21,CO2,4,Maquinaria de Ensamble,114,59,13,Peligroso,1,Vertedero,0.0021704115026509553,En los alrededores,Sí,111
2015-04-22,HAP,11,Maquinaria de Ensamble,337,85,44,No peligroso,5,Vertedero,0.0024906467474026858,Dentro de la planta,Sí,112
2015-04-23,HAP,64,Maquinaria de Ensamble,287,87,34,Reciclable,10,Reciclaje,0.003744195412876132,En los alrededores,Sí,113
2015-04-24,NOx,71,Maquinaria de Ensamble,280,16,13,Reciclable,10,Vertedero,0.001936012054233729,Dentro de la planta,Sí,114
2015-04-25,CO2,29,Procesos de Pintura,326,73,16,Peligroso,5,Reciclaje,0.008153242666856447,En los alrededores,Sí,115
2015-04-26,HAP,79,Procesos de Pintura,275,84,28,Reciclable,5,Reciclaje,0.007124802534428813,Dentro de la planta,Sí,116
2015-04-27,HAP,42,Procesos de Pintura,318,42,25,Reciclable,7,Incineración,0.006029450309287486,Dentro de la planta,Sí,117
2015-04-28,CO2,83,Procesos de Pintura,196,72,35,Peligroso,9,Reciclaje,0.0020307325669813346,Dentro de la planta,Sí,118
2015-04-29,VOC,76,Hornos de Secado,336,53,31,No peligroso,2,Incineración,0.004549075948537554,Dentro de la planta,Sí,119
2015-04-30,CO2,55,Hornos de Secado,277,76,44,No peligroso,2,Incineración,0.0010377612467700678,Dentro de la planta,Sí,120
2015-05-01,NOx,8,Hornos de Secado,338,50,35,Peligroso,10,Vertedero,0.0014990732775520131,Dentro de la planta,Sí,121
2015-05-02,NOx,12,Maquinaria de Ensamble,343,49,48,Reciclable,9,Incineración,0.003105088326729531,En los alrededores,Sí,122
2015-05-03,NOx,14,Procesos de Pintura,287,90,12,Reciclable,8,Incineración,0.0021141682697866735,En los alrededores,Sí,123
2015-05-04,NOx,10,Maquinaria de Ensamble,192,74,47,No peligroso,9,Reciclaje,0.009658922961467135,Dentro de la planta,Sí,124
2015-05-05,HAP,100,Procesos de Pintura,325,55,21,Reciclable,4,Reciclaje,0.005292059705295555,Dentro de la planta,Sí,125
2015-05-06,NOx,84,Procesos de Pintura,357,91,30,Reciclable,1,Vertedero,0.0018401216137159811,En los alrededores,Sí,126
2015-05-07,VOC,9,Hornos de Secado,378,35,36,No peligroso,8,Vertedero,0.005141760437378406,Dentro de la planta,Sí,127
2015-05-08,HAP,18,Procesos de Pintura,470,57,46,Peligroso,2,Incineración,0.009203148174758594,Dentro de la planta,Sí,128
2015-05-09,VOC,7,Procesos de Pintura,478,17,40,No peligroso,8,Reciclaje,0.005925630131500863,En los alrededores,Sí,129
2015-05-10,NOx,92,Maquinaria de Ensamble,273,25,21,No peligroso,8,Vertedero,0.007613796826910667,Dentro de la planta,Sí,130
2015-05-11,HAP,68,Procesos de Pintura,446,99,26,Peligroso,8,Incineración,0.006708017956606713,Dentro de la planta,Sí,131
2015-05-12,VOC,65,Hornos de Secado,329,99,13,Peligroso,1,Reciclaje,0.0067585588133183445,Dentro de la planta,Sí,132
2015-05-13,CO2,75,Procesos de Pintura,458,36,50,Peligroso,9,Incineración,0.008691178587307086,En los alrededores,Sí,133
2015-05-14,VOC,41,Maquinaria de Ensamble,348,80,20,Peligroso,10,Incineración,0.00754750737876504,En los alrededores,Sí,134
2015-05-15,VOC,61,Maquinaria de Ensamble,137,47,29,Peligroso,1,Vertedero,0.009582812572153886,En los alrededores,Sí,135
2015-05-16,HAP,24,Maquinaria de Ensamble,280,26,22,Reciclable,3,Vertedero,0.003294054810667007,En los alrededores,Sí,136
2015-05-17,HAP,89,Procesos de Pintura,369,82,20,Reciclable,7,Vertedero,0.009807865007660847,Dentro de la planta,Sí,137
2015-05-18,CO2,51,Hornos de Secado,288,86,19,No peligroso,1,Reciclaje,0.00988115666255164,En los alrededores,Sí,138
2015-05-19,CO2,4,Hornos de Secado,313,39,11,Peligroso,4,Incineración,0.00794271299716301,Dentro de la planta,Sí,139
2015-05-20,NOx,95,Hornos de Secado,491,37,30,Peligroso,6,Vertedero,0.001793013279549955,Dentro de la planta,Sí,140
2015-05-21,NOx,54,Procesos de Pintura,479,62,34,Peligroso,7,Incineración,0.008138244585866077,En los alrededores,Sí,141
2015-05-22,NOx,39,Hornos de Secado,251,60,49,Peligroso,10,Vertedero,0.002622099929581706,En los alrededores,Sí,142
2015-05-23,NOx,34,Procesos de Pintura,309,24,17,Reciclable,7,Vertedero,0.007398395458522799,Dentro de la planta,Sí,143
2015-05-24,NOx,77,Procesos de Pintura,392,22,39,No peligroso,9,Incineración,0.006137580718725191,Dentro de la planta,Sí,144
2015-05-25,CO2,11,Hornos de Secado,155,16,12,No peligroso,2,Reciclaje,0.004109949097415402,En los alrededores,Sí,145
2015-05-26,NOx,90,Procesos de Pintura,121,46,28,Reciclable,1,Vertedero,0.002241793593764398,Dentro de la planta,Sí,146
2015-05-27,CO2,60,Procesos de Pintura,210,12,42,Reciclable,7,Reciclaje,0.009911736519961106,En los alrededores,Sí,147
2015-05-28,HAP,68,Maquinaria de Ensamble,480,49,47,Reciclable,3,Reciclaje,0.006413769034491316,Dentro de la planta,Sí,148
2015-05-29,HAP,1,Procesos de Pintura,174,99,14,Peligroso,9,Incineración,0.009088298529294336,En los alrededores,Sí,149
2015-05-30,NOx,46,Hornos de Secado,470,39,15,Peligroso,10,Vertedero,0.0028231681405380855,En los alrededores,Sí,150
2015-05-31,HAP,74,Maquinaria de Ensamble,111,48,38,No peligroso,1,Incineración,0.0014973228874738359,En los alrededores,Sí,151
2015-06-01,HAP,17,Maquinaria de Ensamble,229,100,23,Reciclable,3,Reciclaje,0.0025332952455677234,En los alrededores,Sí,152
2015-06-02,CO2,17,Hornos de Secado,304,85,41,Peligroso,10,Incineración,0.004358982135649397,En los alrededores,Sí,153
2015-06-03,NOx,65,Procesos de Pintura,203,100,40,Peligroso,1,Incineración,0.005771202077528568,En los alrededores,Sí,154
2015-06-04,VOC,72,Procesos de Pintura,461,92,25,Reciclable,4,Vertedero,0.006626124880763951,En los alrededores,Sí,155
2015-06-05,CO2,34,Procesos de Pintura,450,62,29,Peligroso,5,Reciclaje,0.006510875645761375,Dentro de la planta,Sí,156
2015-06-06,CO2,58,Maquinaria de Ensamble,124,76,40,Reciclable,9,Reciclaje,0.007764332056221378,En los alrededores,Sí,157
2015-06-07,CO2,37,Procesos de Pintura,145,32,40,No peligroso,9,Vertedero,0.006685754753124905,En los alrededores,Sí,158
2015-06-08,CO2,25,Hornos de Secado,385,10,42,No peligroso,8,Vertedero,0.003963748600628871,Dentro de la planta,Sí,159
2015-06-09,HAP,57,Hornos de Secado,302,16,41,No peligroso,8,Incineración,0.0041019069101768686,En los alrededores,Sí,160
2015-06-10,HAP,4,Procesos de Pintura,158,30,30,Reciclable,10,Vertedero,0.005309773729103633,Dentro de la planta,Sí,161
2015-06-11,HAP,27,Hornos de Secado,384,74,39,Reciclable,10,Incineración,0.002061637994444425,Dentro de la planta,Sí,162
2015-06-12,VOC,92,Maquinaria de Ensamble,149,93,10,No peligroso,6,Vertedero,0.008612639170955234,Dentro de la planta,Sí,163
2015-06-13,NOx,18,Maquinaria de Ensamble,383,81,40,Peligroso,1,Incineración,0.004366594469379349,En los alrededores,Sí,164
2015-06-14,CO2,81,Hornos de Secado,336,36,43,Peligroso,6,Reciclaje,0.005643062332742661,Dentro de la planta,Sí,165
2015-06-15,HAP,17,Maquinaria de Ensamble,295,70,36,Reciclable,9,Reciclaje,0.0022088135753612088,En los alrededores,Sí,166
2015-06-16,VOC,18,Maquinaria de Ensamble,449,16,19,Peligroso,4,Incineración,0.009863192909292481,En los alrededores,Sí,167
2015-06-17,HAP,73,Maquinaria de Ensamble,267,81,28,Peligroso,1,Vertedero,0.005716988877792476,Dentro de la planta,Sí,168
2015-06-18,NOx,24,Procesos de Pintura,321,92,45,No peligroso,4,Incineración,0.006305530937986958,En los alrededores,Sí,169
2015-06-19,VOC,3,Hornos de Secado,189,91,31,No peligroso,7,Reciclaje,0.007009009804184566,Dentro de la planta,Sí,170
2015-06-20,CO2,88,Procesos de Pintura,414,42,30,Reciclable,8,Incineración,0.008978672310281984,Dentro de la planta,Sí,171
2015-06-21,HAP,86,Procesos de Pintura,120,45,11,No peligroso,6,Incineración,0.0095678486242275,En los alrededores,Sí,172
2015-06-22,NOx,85,Hornos de Secado,422,64,35,Peligroso,9,Reciclaje,0.004044077639924388,Dentro de la planta,Sí,173
2015-06-23,CO2,90,Hornos de Secado,146,34,42,Reciclable,4,Incineración,0.005944779516156704,En los alrededores,Sí,174
2015-06-24,NOx,63,Hornos de Secado,488,48,22,Reciclable,10,Vertedero,0.0096154775459629,Dentro de la planta,Sí,175
2015-06-25,HAP,15,Hornos de Secado,114,82,31,No peligroso,9,Vertedero,0.005224024344681083,Dentro de la planta,Sí,176
2015-06-26,CO2,35,Maquinaria de Ensamble,363,91,18,Peligroso,7,Incineración,0.009668727216576075,En los alrededores,Sí,177
2015-06-27,VOC,96,Maquinaria de Ensamble,140,92,43,No peligroso,6,Incineración,0.005472729126918771,Dentro de la planta,Sí,178
2015-06-28,HAP,44,Hornos de Secado,377,29,43,Peligroso,5,Reciclaje,0.0014433370876887606,Dentro de la planta,Sí,179
2015-06-29,VOC,57,Procesos de Pintura,201,40,11,Reciclable,4,Incineración,0.0034301424401947138,Dentro de la planta,Sí,180
2015-06-30,CO2,38,Maquinaria de Ensamble,357,87,50,Reciclable,10,Vertedero,0.008773376964127243,En los alrededores,Sí,181
2015-07-01,VOC,80,Maquinaria de Ensamble,142,43,48,No peligroso,4,Incineración,0.008303148001913615,Dentro de la planta,Sí,182
2015-07-02,NOx,71,Hornos de Secado,155,15,29,No peligroso,5,Incineración,0.004779185511547976,En los alrededores,Sí,183
2015-07-03,NOx,3,Maquinaria de Ensamble,365,28,45,Reciclable,4,Incineración,0.006367029702439791,En los alrededores,Sí,184
2015-07-04,NOx,35,Procesos de Pintura,294,79,32,Reciclable,3,Vertedero,0.009368836016066018,En los alrededores,Sí,185
2015-07-05,CO2,65,Maquinaria de Ensamble,213,100,32,Peligroso,7,Vertedero,0.004617557051411623,Dentro de la planta,Sí,186
2015-07-06,VOC,89,Hornos de Secado,139,29,29,No peligroso,9,Vertedero,0.006397730997314045,En los alrededores,Sí,187
2015-07-07,HAP,75,Procesos de Pintura,385,39,10,Peligroso,2,Incineración,0.0015601709477513891,Dentro de la planta,Sí,188
2015-07-08,HAP,69,Hornos de Secado,226,73,18,Reciclable,6,Reciclaje,0.00676734371960755,En los alrededores,Sí,189
2015-07-09,CO2,20,Procesos de Pintura,177,35,40,Peligroso,9,Incineración,0.001800648899252003,Dentro de la planta,Sí,190
2015-07-10,HAP,61,Procesos de Pintura,220,60,17,Peligroso,10,Incineración,0.001706389152549218,En los alrededores,Sí,191
2015-07-11,HAP,94,Maquinaria de Ensamble,104,72,27,Reciclable,4,Vertedero,0.006564977161593322,Dentro de la planta,Sí,192
2015-07-12,NOx,24,Maquinaria de Ensamble,216,93,33,Reciclable,5,Vertedero,0.004228799325093317,Dentro de la planta,Sí,193
2015-07-13,HAP,95,Maquinaria de Ensamble,362,74,26,Reciclable,4,Reciclaje,0.0029810851427655824,En los alrededores,Sí,194
2015-07-14,VOC,94,Procesos de Pintura,124,32,31,Reciclable,1,Vertedero,0.005056881222300697,En los alrededores,Sí,195
2015-07-15,HAP,42,Hornos de Secado,321,31,28,Peligroso,5,Vertedero,0.001956725652054761,Dentro de la planta,Sí,196
2015-07-16,HAP,25,Procesos de Pintura,268,59,30,No peligroso,10,Reciclaje,0.003436483580571838,En los alrededores,Sí,197
2015-07-17,NOx,66,Maquinaria de Ensamble,261,81,23,Reciclable,7,Incineración,0.008434910504806575,En los alrededores,Sí,198
2015-07-18,HAP,69,Procesos de Pintura,297,85,47,Peligroso,2,Reciclaje,0.005731176927495352,En los alrededores,Sí,199
2015-07-19,CO2,29,Procesos de Pintura,326,58,49,No peligroso,2,Vertedero,0.004599853952506029,Dentro de la planta,Sí,200
2015-07-20,VOC,58,Maquinaria de Ensamble,314,58,13,Peligroso,7,Vertedero,0.0045842267004857235,En los alrededores,Sí,201
2015-07-21,NOx,66,Maquinaria de Ensamble,143,76,10,No peligroso,3,Incineración,0.0011352350023652977,En los alrededores,Sí,202
2015-07-22,CO2,89,Maquinaria de Ensamble,138,56,38,No peligroso,7,Reciclaje,0.008900787138692343,En los alrededores,Sí,203
2015-07-23,HAP,58,Maquinaria de Ensamble,341,20,49,No peligroso,7,Incineración,0.005454872069003283,Dentro de la planta,Sí,204
